,Title,price,rating,combined
39,"Victor Printing Calculator, 1208-2 Compact and Reliable Adding Machine with 12 Digit LCD Display, Battery or AC Powered, Includes Adapter,White",40.82,4.4,1.8810864333793507
51,"Canon Office Products 2202C001 Canon MP25DV-3 Desktop Printing Calculator with Currency Conversion, Clock & Calendar",69.13,4.5,1.8803304024078709
32,"Texas Instruments TI-84 Plus Graphics Calculator, Black (Renewed)",84.44,4.5,1.864764697381945
94,Canon Office Products BS-1200TS Business Calculator,31.99,4.3,1.8600014626995207
96,Canon Office Products BS-1200TS Business Calculator,31.99,4.3,1.8600014626995207
72,"Texas Instruments ti-84 Plus Ce Color Graphing Calculator, Black",135,4.5,1.8384418140340277
97,Pocket Size Student Function Calculator Basic Solar Battery Calculator Bulk Mini Colorful Calculator for Student Kids School Home Office Desktop Accounting Tools(9 Pieces),19.99,4.1,1.8378707077239054
132,Texas Instruments TI-83 Plus Graphing Calculator (Renewed),59.99,4.4,1.836034371077416
40,"Sharp EL-1801V Ink Printing Calculator, Fluorescent Display, AC, Off-White",66.99,4.4,1.8260100809953042
150,"Scientific Calculator with Graph Functions for College and High School Students, Engineering, Advanced Mathematics, Calculus, Algebra, Geometery, Trigonometry, Statistics, Physics, Chemistry - Green",39.99,4.3,1.8251372001235964
75,"CATIGA New & Upgraded 2024 Printing Calculator Adding Machine 10 Key, Desktop Home Office Calculator with Paper Roll Print Out, Accounting Business Finance",39.99,4.3,1.8251372001235964
151,"Scientific Calculator with Graphic Functions - Multiple Modes with Intuitive Interface - Perfect for Beginner and Advanced Courses, High School or College",39.99,4.3,1.8251372001235964
120,"PATIKIL Basic 8 Digit LCD Display 4 Function Small Desktop Battery Powered Handheld Calculator for Home Office, Red",9.99,3.7,1.809513120257278
109,"PATIKIL Basic 8 Digit LCD Display 4 Function Small Desktop Battery Powered Handheld Calculator for Home Office, Red",9.99,3.7,1.809513120257278
34,"Sharp EL-T3301 Thermal Printing Calculator, Black Print, 8 Lines/Sec",92.43,4.4,1.80236512001798
142,"Scientific Calculator with Graphing, Includes Carrying Case, for College and High School Students, Calculus, Algebra, Geometry, Trigonometry, Statistics, Physics, Chemistry, Black",49.99,4.3,1.7972489284741708
105,Victor 1460-4 12 Digit Extra Heavy Duty Commercial Printing Calculator,114.92,4.4,1.7901801262741308
114,"Mr. Pen- Mechanical Switch Calculator, 10 Digits, Purple Calculator, Transparent Body, Large LCD Display, Big Buttons Mechanical Calculator Desktop Calculator, Cute Calculator, Aesthetic Calculator",6.85,3.4,1.7739192312142558
85,"Mr. Pen- Mechanical Switch Calculator, 10 Digits, Purple Calculator, Transparent Body, Large LCD Display, Big Buttons Mechanical Calculator Desktop Calculator, Cute Calculator, Aesthetic Calculator",6.85,3.4,1.7739192312142558
135,"12 Pack Pocket Size Mini Calculator Basic Calculator for Students 8 Digit Display Solar Battery Dual Power Small Desktop Home Office School Students Kids, 4 Colors",22.99,4.0,1.7416241706378492
127,"12 Pack Pocket Size Mini Calculator Basic Calculator for Students 8 Digit Display Solar Battery Dual Power Small Desktop Home Office School Students Kids, 4 Colors",22.99,4.0,1.7416241706378492
55,15 Pieces 2 Line Engineering Scientific Calculator Function Calculator Calculator Large Display Math Calculator for Student Teacher Classroom High School College School Business Offices Black,57.99,4.2,1.7243840224222546
136,12 Pieces Pocket Size Mini Calculators Handheld Angled 8-Digit Display Calculators Basic Standard Small Accounting Desktop Supplies for Office School and Home,17.99,3.8,1.673750970632043
31,Flutesan 24 Pieces Basic Calculators for Students Small Pocket Size Mini Calculators Dual Powered Handheld Calculator 8 Digit Display Desktop School Supplies for Desktop Home Kids Office(Black),33.99,3.9,1.6110698068743705
111,"Desk Calculator with Big Buttons and Large Display, Basic Calculator 12-Digit Calculators with Solar Power and AA Battery Dual Power Handheld Desktop Calculator for Office Home School",5.37,3.0,1.581634286741548
102,"20 Pieces Bulk Solar Calculator for Students Kids Basic Pocket Mini Dual Power 10 Function Calculator Small for Class Office School Students Kids, No Battery",28.99,3.8,1.5751273137946855
58,24 Pack Basic Calculators for Students Pocket Size Mini Calculators 8 Digit Display Basic Calculator Solar Battery Dual Power Handheld Calculators for Office School and Home,33.99,3.8,1.5514005547679122
